,id,h,v,fuel
0,2,1866.6666666666667,0.392,100000.0
1,2,1866.6666666666667,0.8819999999999999,100000.0
2,2,1866.6666666666667,1.372,100000.0
3,2,1866.6666666666667,1.8620000000000005,100000.0
4,2,1866.6666666666667,2.3520000000000003,100000.0
5,2,1861.3333333333333,2.8419999999999996,100000.0
6,2,1848.0,3.331999999999999,100000.0
7,2,1834.6666666666667,3.8219999999999983,100000.0
8,2,1821.3333333333333,4.311999999999998,100000.0
9,2,1808.0,4.801999999999997,100000.0
10,2,1794.6666666666667,5.291999999999996,100000.0
11,2,1768.0,5.781999999999996,100000.0
12,2,1741.3333333333333,6.271999999999995,100000.0
13,2,1714.6666666666667,6.761999999999994,100000.0
14,2,1688.0,7.251999999999994,100000.0
15,2,1661.3333333333333,7.741999999999993,100000.0
16,2,1626.6666666666667,8.231999999999994,100000.0
17,2,1586.6666666666667,8.721999999999998,100000.0
18,2,1546.6666666666667,9.212000000000002,100000.0
19,2,1506.6666666666667,9.702000000000005,100000.0
20,2,1466.6666666666667,10.192000000000009,100000.0
21,2,1424.0,10.682000000000013,100000.0
22,2,1370.6666666666667,11.172000000000017,100000.0
23,2,1317.3333333333333,11.66200000000002,100000.0
24,2,1264.0,12.152000000000024,100000.0
25,2,1210.6666666666667,12.642000000000028,100000.0
26,2,1157.3333333333333,13.132000000000032,100000.0
27,2,1096.0,13.622000000000035,100000.0
28,2,1029.3333333333333,14.11200000000004,100000.0
29,2,962.6666666666666,14.602000000000043,100000.0
30,2,896.0,15.092000000000047,100000.0
31,2,829.3333333333334,15.58200000000005,100000.0
32,2,760.0,16.072000000000052,100000.0
33,2,680.0,16.562000000000047,100000.0
34,2,600.0,17.052000000000042,100000.0
35,2,520.0,17.542000000000037,100000.0
36,2,440.0,18.032000000000032,100000.0
37,2,360.0,18.522000000000027,100000.0
38,2,269.3333333333333,19.01200000000002,100000.0
39,2,176.0,19.502000000000017,100000.0
40,2,82.66666666666667,19.99200000000001,100000.0
